date,total_fte,doctors_fte,nurses_fte,midwives_fte,scientific_fte,support_fte
2009-09-30,1002298.102,95410.07996,278470.3305,18959.35309,118916.7914,283969.7037
2009-10-31,1007705.398,95602.04401,280699.6285,19282.45955,119917.6821,284662.8892
2009-11-30,1011465.326,95742.10835,281366.8053,19454.45837,120395.7882,285582.0563
2009-12-31,1010144.118,95628.38132,280227.5321,19340.62887,120629.0883,285372.6913
2010-01-31,1013070.119,95398.28901,281064.0286,19444.27845,120382.3033,286999.2132
2010-02-28,1014078.571,95645.50485,281444.1322,19446.69885,120285.5321,287859.1088
2010-03-31,1015642.026,95496.03907,281982.9172,19415.60631,120388.6627,288239.1137
2010-04-30,1012765.944,94337.3533,281608.518,19442.17475,120238.4898,287953.7
2010-05-31,1011082.802,94742.21019,280950.2051,19478.24476,119855.1765,287675.2474
2010-06-30,1010568.905,94538.49958,280619.9867,19450.67167,119916.8804,287821.668
2010-07-31,1008952.86,95005.06283,279940.6209,19368.96116,119754.7346,287868.2872
2010-08-31,1010992.973,97437.68941,279075.79,19406.90845,120808.6613,287812.8889
2010-09-30,1012217.293,97130.13727,279882.6298,19486.945,121879.5777,288144.4787
2010-10-31,1013474.069,97103.457,281476.7477,19612.68204,122591.3106,287580.6801
2010-11-30,1013965.336,97329.97548,281587.6947,19748.4381,123097.8377,287396.6819
2010-12-31,1010195.559,96998.28082,280399.1459,19654.07931,123241.6492,286191.0105
2011-01-31,1010967.252,97109.03042,281106.7389,19770.01347,123375.9376,286948.1454
2011-02-28,1010285.537,97147.10567,280973.8941,19820.8857,123572.5766,286824.23
2011-03-31,1008281.076,97047.88815,280516.1256,19950.13868,123407.8869,286181.2193
2011-04-30,1000174.361,96606.23523,279266.0744,19900.64182,122607.7447,283393.5247
2011-05-31,997948.8147,96344.98013,278635.4508,19965.10367,122380.6411,283055.8511
2011-06-30,995779.8309,96162.463,277910.5277,19960.80226,122183.8936,282784.4435
2011-07-31,992955.2048,96960.71164,277023.8175,19926.2476,121935.8768,281145.5272
2011-08-31,992937.2153,99065.26352,275839.5557,19884.9763,122265.806,280411.3398
2011-09-30,993466.0107,98388.85175,277047.2281,19877.5203,122819.9267,280107.8149
2011-10-31,994853.8988,98829.95488,278094.2198,20178.0636,123146.8364,279620.1153
2011-11-30,993594.1262,98588.42052,277728.8083,20344.40353,123034.4334,279272.2545
2011-12-31,990592.7961,98416.13076,276787.3436,20357.4709,123052.2223,277758.8543
2012-01-31,992652.9667,98531.72746,277506.2052,20413.5876,123267.0503,278686.3208
2012-02-29,985193.9397,98649.82255,274841.5041,20363.06792,122139.9398,276366.7922
2012-03-31,984180.9885,98317.05279,275114.2107,20342.13246,122009.2661,275835.5303
2012-04-30,982690.8843,98216.02043,275120.1206,20310.92694,122063.6284,275668.3096
2012-05-31,975616.2614,97742.60047,272471.3737,20338.63928,120641.4343,274300.243
2012-06-30,973595.5856,97497.51868,271782.4554,20370.52093,120313.2557,273884.4137
2012-07-31,977633.4294,101687.7303,271211.5231,20358.29257,120622.1914,274096.0425
