date,region_code,provider_code,provider_name,treatment_function_code,total_incomplete_pathways,total_within_18_weeks,pct_within_18_weeks,median_wait_weeks,total_52_plus_weeks
01/04/2015,Y54,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,IP999,21072,19926,0.946,6.3,
01/04/2015,Y54,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,IP999,20228,18858,0.932,6.3,
01/04/2015,Y54,RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,IP999,18267,17902,0.98,4.9,
01/04/2015,Y54,RBQ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,IP999,1888,1676,0.888,6.8,
01/04/2015,Y54,RBS,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,IP999,10019,9254,0.924,6.2,
01/04/2015,Y54,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,IP999,14117,13345,0.945,5.9,
01/04/2015,Y54,RBV,THE CHRISTIE NHS FOUNDATION TRUST,IP999,1060,1041,0.982,3.5,
01/04/2015,Y54,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,IP999,24852,22884,0.921,6.2,
01/04/2015,Y54,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,IP999,11635,11223,0.965,5.6,
01/04/2015,Y54,RCF,AIREDALE NHS FOUNDATION TRUST,IP999,8864,8162,0.921,5.6,
01/04/2015,Y54,RCU,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,IP999,5858,5490,0.937,5.6,
01/04/2015,Y54,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,IP999,3588,3535,0.985,3.6,
01/04/2015,Y54,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,IP999,15487,15077,0.974,4.7,
01/04/2015,Y54,REN,THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,IP999,313,305,0.974,4.5,
01/04/2015,Y54,REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,IP999,3810,3587,0.941,6.4,
01/04/2015,Y54,RET,THE WALTON CENTRE NHS FOUNDATION TRUST,IP999,6540,6388,0.977,5.1,
01/04/2015,Y54,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,IP999,12283,11318,0.921,5.9,
01/04/2015,Y54,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,IP999,9798,9481,0.968,5.5,
01/04/2015,Y54,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,IP999,43107,40477,0.939,5.2,
01/04/2015,Y54,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,IP999,19666,19028,0.968,5.2,
01/04/2015,Y54,RJN,EAST CHESHIRE NHS TRUST,IP999,8236,7679,0.932,5.1,
01/04/2015,Y54,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,IP999,13592,12693,0.934,6.2,
01/04/2015,Y54,RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,IP999,27370,25615,0.936,5.6,
01/04/2015,Y54,RM2,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,IP999,,,,,
01/04/2015,Y54,RM3,SALFORD ROYAL NHS FOUNDATION TRUST,IP999,27020,25786,0.954,5.2,
01/04/2015,Y54,RMC,BOLTON NHS FOUNDATION TRUST,IP999,15968,15370,0.963,5,
01/04/2015,Y54,RMP,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,IP999,14674,12838,0.875,6.6,
01/04/2015,Y54,RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,IP999,17413,15482,0.889,6.4,
01/04/2015,Y54,RNN,CUMBRIA PARTNERSHIP NHS FOUNDATION TRUST,IP999,1211,1124,0.928,6.4,
01/04/2015,Y54,RP5,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,IP999,24722,23165,0.937,5.6,
01/04/2015,Y54,RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,IP999,22165,20720,0.935,5.8,
01/04/2015,Y54,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,IP999,8936,8260,0.924,5.9,
01/04/2015,Y54,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,IP999,50319,47083,0.936,6,
01/04/2015,Y54,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",IP999,15545,15152,0.975,4.7,
01/04/2015,Y54,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,IP999,58147,54466,0.937,6.5,
01/04/2015,Y54,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,IP999,17842,16605,0.931,5.2,
01/04/2015,Y54,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,IP999,27621,26380,0.955,6,
