provider_code,provider_name,region_code,region,ics_code,ics_name,postcode,latitude,longitude
G6V2S,North London NHS Foundation Trust,Y56,London,QMJ,North Central London,,,
QE1,NHS Lancashire and South Cumbria ICB,Y62,North West,QE1,Lancashire and South Cumbria,,,
QF7,NHS South Yorkshire ICB,Y63,North East and Yorkshire,QF7,South Yorkshire,,,
QGH,NHS Herefordshire and Worcestershire ICB,Y60,Midlands,QGH,Herefordshire and Worcestershire,,,
QH8,NHS Mid and South Essex ICB,Y61,East of England,QH8,Mid and South Essex,,,
QHG,"NHS Bedfordshire, Luton and Milton Keynes ICB",Y61,East of England,QHG,"Bedfordshire, Luton and Milton Keynes",,,
QHL,NHS Birmingham and Solihull ICB,Y60,Midlands,QHL,Birmingham and Solihull,,,
QHM,NHS North East and North Cumbria ICB,Y63,North East and Yorkshire,QHM,North East and North Cumbria,,,
QJ2,NHS Derby and Derbyshire ICB,Y60,Midlands,QJ2,Derby and Derbyshire,,,
QJG,NHS Suffolk and North East Essex ICB,Y61,East of England,QJG,Suffolk and North East Essex,,,
QJK,NHS Devon ICB,Y58,South West,QJK,Devon,,,
QJM,NHS Lincolnshire ICB,Y60,Midlands,QJM,Lincolnshire,,,
QK1,"NHS Leicester, Leicestershire and Rutland ICB",Y60,Midlands,QK1,"Leicester, Leicestershire and Rutland",,,
QKK,NHS South East London ICB,Y56,London,QKK,South East London,,,
QKS,NHS Kent and Medway ICB,Y59,South East,QKS,Kent and Medway,,,
QM7,NHS Hertfordshire and West Essex ICB,Y61,East of England,QM7,Hertfordshire and West Essex,,,
QMF,NHS North East London ICB,Y56,London,QMF,North East London,,,
QMJ,NHS North Central London ICB,Y56,London,QMJ,North Central London,,,
QMM,NHS Norfolk and Waveney ICB,Y61,East of England,QMM,Norfolk and Waveney,,,
QNC,NHS Staffordshire and Stoke-on-Trent ICB,Y60,Midlands,QNC,Staffordshire and Stoke-on-Trent,,,
QNQ,NHS Frimley ICB,Y59,South East,QNQ,Frimley,,,
QNX,NHS Sussex ICB,Y59,South East,QNX,Sussex,,,
QOC,"NHS Shropshire, Telford and Wrekin ICB",Y60,Midlands,QOC,"Shropshire, Telford and Wrekin",,,
QOP,NHS Greater Manchester ICB,Y62,North West,QOP,Greater Manchester,,,
QOQ,NHS Humber and North Yorkshire ICB,Y63,North East and Yorkshire,QOQ,Humber and North Yorkshire,,,
QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB",Y58,South West,QOX,"Bath and North East Somerset, Swindon and Wiltshire",,,
QPM,NHS Northamptonshire ICB,Y60,Midlands,QPM,Northamptonshire,,,
QR1,NHS Gloucestershire ICB,Y58,South West,QR1,Gloucestershire,,,
QRL,NHS Hampshire and Isle of Wight ICB,Y59,South East,QRL,Hampshire and Isle of Wight,,,
QRV,NHS North West London ICB,Y56,London,QRV,North West London,,,
QSL,NHS Somerset ICB,Y58,South West,QSL,Somerset,,,
QT1,NHS Nottingham and Nottinghamshire ICB,Y60,Midlands,QT1,Nottingham and Nottinghamshire,,,
QT6,NHS Cornwall and the Isles of Scilly ICB,Y58,South West,QT6,Cornwall and the Isles of Scilly,,,
QU9,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB",Y59,South East,QU9,"Buckinghamshire, Oxfordshire and Berkshire West",,,
QUA,NHS Black Country ICB,Y60,Midlands,QUA,Black Country,,,
QUE,NHS Cambridgeshire and Peterborough ICB,Y61,East of England,QUE,Cambridgeshire and Peterborough,,,
QUY,"NHS Bristol, North Somerset and South Gloucestershire ICB",Y58,South West,QUY,"Bristol, North Somerset and South Gloucestershire",,,
QVV,NHS Dorset ICB,Y58,South West,QVV,Dorset,,,
QWE,NHS South West London ICB,Y56,London,QWE,South West London,,,
QWO,NHS West Yorkshire ICB,Y63,North East and Yorkshire,QWO,West Yorkshire,,,
QWU,NHS Coventry and Warwickshire ICB,Y60,Midlands,QWU,Coventry and Warwickshire,,,
QXU,NHS Surrey Heartlands ICB,Y59,South East,QXU,Surrey Heartlands,,,
QYG,NHS Cheshire and Merseyside ICB,Y62,North West,QYG,Cheshire and Merseyside,,,
R0A,Manchester University NHS Foundation Trust,Y62,North West,QOP,Greater Manchester,M13 9WL,53.462452,-2.227709
R0B,South Tyneside and Sunderland NHS Foundation Trust,Y63,North East and Yorkshire,QHM,North East and North Cumbria,SR4 7TP,54.902214,-1.410327
R0D,University Hospitals Dorset NHS Foundation Trust,Y58,South West,QVV,Dorset,BH15 2JB,50.721977,-1.97311
R1A,Herefordshire and Worcestershire Health and Care NHS Trust,Y60,Midlands,QGH,Herefordshire and Worcestershire,WR5 1JR,52.192352,-2.178013
R1D,Shropshire Community Health NHS Trust,Y60,Midlands,QOC,"Shropshire, Telford and Wrekin",SY2 6FG,52.690597,-2.72109
R1F,Isle of Wight NHS Trust,Y59,South East,QRL,Hampshire and Isle of Wight,PO30 5TG,50.710832,-1.301363
R1H,Barts Health NHS Trust,Y56,London,QMF,North East London,E1 2ES,51.517168,-0.056023
R1K,London North West University Healthcare NHS Trust,Y56,London,QRV,North West London,HA1 3UJ,51.575409,-0.322015
R1L,Essex Partnership University NHS Foundation Trust,Y61,East of England,QH8,Mid and South Essex,SS11 7XX,51.633013,0.543374
RA2,Royal Surrey NHS Foundation Trust,Y59,South East,QXU,Surrey Heartlands,GU2 7XX,51.241012,-0.607443
